pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,star_F,star_G,star_K,target,habitability_score,habitability_rank
1.58,195.89164,0.93875077,0.0935,811.0,1.338589,5708.0,0.00432,0.0,False,True,False,1,0.8724496507091342,160
1.25,195.89164,2.55315031,0.0366,811.0,1.338589,5970.0,0.00432,-0.18,False,True,False,1,0.8721686282998212,161
1.57,195.89164,7.2593226,0.0718,811.0,1.338589,5914.0,0.00432,-0.22,False,True,False,1,0.8721275394474435,162
1.61,195.89164,7.25931979,0.0718,811.0,1.338589,5914.0,0.00432,-0.22,False,True,False,1,0.8721275394474435,163
1.11,195.89164,0.921032135,0.0935,811.0,1.338589,5869.0,0.00432,-0.04,False,True,False,1,0.8718022931677916,164
0.89,195.89164,0.677375164,0.0935,811.0,1.338589,5769.0,0.00432,0.05,False,True,False,1,0.8716325132067589,165
1.33,195.89164,2.55314213,0.0366,811.0,1.338589,5970.0,0.00432,-0.18,False,True,False,1,0.871018869845715,166
1.55,195.89164,0.567856484,0.0125,811.0,1.338589,5073.0,0.00432,0.14,False,False,True,1,0.8710059098252236,167
1.41,195.89164,1.078390352,0.0935,811.0,1.338589,5226.0,0.00432,-0.04,False,True,False,1,0.8698821816923976,168
0.919,195.89164,0.638163204,0.0137,811.0,1.338589,5079.0,0.00432,0.12,False,False,True,1,0.8696096622156241,169
1.34,195.89164,0.571038518,0.0935,811.0,1.338589,5268.0,0.00432,0.01,False,True,False,1,0.8692022992118554,170
1.8,195.89164,7.38441403,0.0717,811.0,1.338589,5825.0,0.00432,-0.22,False,True,False,1,0.8683592523474655,171
1.42,195.89164,0.938466832,0.0935,811.0,1.338589,5671.0,0.00432,-0.05,False,True,False,1,0.8681915878514213,172
1.63,195.89164,2.578852119,0.0362,811.0,1.338589,5743.0,0.00432,-0.14,False,True,False,1,0.8680867694382628,173
1.6,195.89164,2.578855068,0.0362,811.0,1.338589,5751.0,0.00432,-0.14,False,True,False,1,0.8680867694382628,174
1.58,195.89164,2.735903375,0.0361,811.0,1.338589,5294.0,0.00432,-0.16,False,True,False,1,0.8677411893601022,175
0.86,195.89164,0.57023,0.0935,811.0,1.338589,5500.0,0.00432,0.0,False,True,False,1,0.8675685602069838,176
1.53,195.89164,0.538354308,0.0935,811.0,1.338589,5948.0,0.00432,0.01,False,True,False,1,0.866038264996506,177
1.81,195.89164,0.3693038,0.0935,811.0,1.338589,5200.0,0.00432,0.0,False,True,False,0,0.8659169380342822,178
1.59,195.89164,7.33683936,0.0722,811.0,1.338589,5798.0,0.00432,-0.22,False,True,False,1,0.8656846965172379,179
1.6,195.89164,2.586638081,0.0357,811.0,1.338589,5802.0,0.00432,-0.2,False,True,False,1,0.8647608033885795,180
1.29,195.89164,0.63642408,0.0935,811.0,1.338589,5267.0,0.00432,0.12,False,True,False,1,0.8646437639044484,181
1.6,195.89164,0.571212,0.0935,811.0,1.338589,5613.0,0.00432,0.01,False,True,False,1,0.8645666800895223,182
1.44,195.89164,2.586639524,0.0356,811.0,1.338589,5780.0,0.00432,-0.2,False,True,False,1,0.8644198599708621,183
0.94,195.89164,7.41084314,0.0702,811.0,1.338589,5528.0,0.00432,-0.2,False,True,False,1,0.8632769452236003,184
1.22,195.89164,6.2171292,0.0658,811.0,1.338589,5960.0,0.00432,-0.2,False,True,False,1,0.8614295457607155,185
0.9,195.89164,6.20925415,0.061,811.0,1.338589,5440.0,0.00432,-0.24,False,True,False,1,0.8613434784175122,186
0.89,195.89164,6.20920207,0.061,811.0,1.338589,5440.0,0.00432,-0.24,False,True,False,1,0.8610101450841788,187
1.033,195.89164,6.17828255,0.06432,811.0,1.338589,5910.0,0.00432,-0.2,False,True,False,1,0.860205089037366,188
1.03,195.89164,0.813166719,0.0163,811.0,1.338589,5285.0,0.00432,-0.06,False,True,False,1,0.8598033584251874,189
1.42,195.89164,2.818150106,0.0365,811.0,1.338589,5290.0,0.00432,-0.22,False,True,False,1,0.8580949900163446,190
1.2547759,195.89164,0.58424,0.0935,811.0,1.338589,5231.0,0.00432,-0.03,False,True,False,1,0.858072840163717,191
1.234,195.89164,6.41490515,0.06596,811.0,1.338589,5910.0,0.00432,-0.2,False,True,False,1,0.8580512817832132,192
1.283,195.89164,6.24146367,0.06428,811.0,1.338589,5857.0,0.00432,-0.21,False,True,False,1,0.8580277991377263,193
1.598,195.89164,6.09750607,0.06172,811.0,1.338589,5698.0,0.00432,-0.24,False,True,False,1,0.8578676201090887,194
1.56,195.89164,2.735900074,0.0362,811.0,1.338589,5299.0,0.00432,-0.14,False,True,False,1,0.857551831415429,195
0.86,195.89164,0.984940167,0.0935,811.0,1.338589,5839.0,0.00432,-0.07,False,True,False,1,0.8572986736570618,196
1.6,195.89164,0.959622,0.0935,811.0,1.338589,5438.0,0.00432,-0.1,False,True,False,1,0.8571643492246187,197
