pl_name,predicted_class,habitability_probability,habitability_score,actual_label,pl_rade,pl_eqt,pl_insol,st_teff,rank
Kepler-315 c,0,0.0012923761,0.1292376,0,3.64,269.0,1.24,5724.0,277
TOI-4127 b,0,0.0012138764,0.12138764,0,12.5447,272.0,0.9094,6433.0,278
Kepler-436 b,0,0.0011940326,0.11940326,0,1.9,271.0,1.28,4299.0,279
Kepler-436 b,0,0.0011940326,0.11940326,0,1.9,271.0,1.28,4299.0,280
Kepler-436 b,0,0.0011940326,0.11940326,0,1.9,271.0,1.28,4299.0,281
Kepler-1746 b,0,0.001193385,0.1193385,0,5.06,268.0,1.21,5982.0,282
Kepler-1746 b,0,0.001193385,0.1193385,0,5.06,268.0,1.21,5982.0,283
Kepler-1746 b,0,0.001193385,0.1193385,0,5.06,268.0,1.21,5982.0,284
Kepler-159 c,0,0.0011412275,0.114122756,0,2.64,275.0,1.35,3894.0,285
Kepler-159 c,0,0.0011412275,0.114122756,0,2.64,275.0,1.35,3894.0,286
Kepler-159 c,0,0.0011412275,0.114122756,0,2.64,275.0,1.35,3894.0,287
Kepler-235 e,0,0.001109981,0.110998094,0,1.83,273.0,1.32,3950.0,288
Kepler-298 d,0,0.0010705956,0.10705956,0,2.89,291.0,1.68,4549.0,289
Kepler-298 d,0,0.0010705956,0.10705956,0,2.63,277.0,1.4,4463.0,290
Kepler-298 d,0,0.0010705956,0.10705956,0,2.89,291.0,1.68,4549.0,291
Kepler-298 d,0,0.0010705956,0.10705956,0,2.89,291.0,1.68,4549.0,292
TOI-700 e,0,0.0010116271,0.10116272,0,0.94918578,272.9,1.3108,3482.0,293
TOI-4336 A b,0,0.00081784435,0.081784435,0,2.04924027,290.94,1.6933,3365.0,294
TOI-2285 b,0,0.00054658484,0.054658484,0,1.74,284.0,1.54,3491.0,295
TOI-712 d,0,0.00053694437,0.05369444,0,2.03857,292.0,1.215,4504.0,296
Kepler-1701 b,0,0.00053694437,0.05369444,0,1.99,278.0,1.41,5380.0,297
Kepler-1701 b,0,0.00053694437,0.05369444,0,1.99,278.0,1.41,5380.0,298
Kepler-1701 b,0,0.00053694437,0.05369444,0,1.99,278.0,1.41,5380.0,299
Kepler-1606 b,0,0.00052745856,0.052745856,0,1.98,276.0,1.38,5536.0,300
Kepler-1606 b,0,0.00052745856,0.052745856,0,1.98,276.0,1.38,5536.0,301
Kepler-1701 b,0,0.00052745856,0.052745856,0,2.21,273.0,1.31,5171.0,302
Kepler-1606 b,0,0.00052745856,0.052745856,0,1.98,276.0,1.38,5536.0,303
Kepler-1996 c,0,0.00048078023,0.048078023,0,2.81,276.0,1.38,4580.0,304
TOI-1468 c,0,0.0004605442,0.04605442,0,2.064,337.5,2.15,3496.0,305
Kepler-1840 b,0,0.00044247988,0.04424799,0,2.34,284.0,1.54,4898.0,306
