pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,st_spectype
11.309881,921.707,9.06005,0.0844,,3.45,5650.0,,0.02,G3 V
16.36514,266.9772,4.62941,0.0586,,0.33,5700.0,,0.0,G2 IV
6.38913,47.6745,6.71837,0.071,938.0,1.1,5970.0,-0.1549,0.0,G0 VI
,,6.7183678,,,,5970.0,-0.1549,0.0,G0 VI
18.83108758,349.6112477,3.22748,0.0429,1747.0,0.29,6390.0,,-0.5,F6 V
15.80466279,216.12331676,5.616531,0.066,1567.0,0.25,6730.0,,-0.1,F3 V
13.34,228.83,9.20205,0.09,1074.0,0.525,6190.0,,,
13.00244,232.33373,9.20205,0.0912,1058.0,0.583,6190.0,,0.05,
13.33871,223.43449,9.20205,0.09025,,0.517,6190.0,,0.05,
13.43739593,,9.20164964154,,963.83,,6190.0,,,
15.558,148.42,4.0378962,0.04947,1438.0,0.217,6100.0,,-0.25,F9 V
14.078504,145.88397,4.0379156,0.0495,1397.0,0.288,,0.18,,
,,4.0379156,,,,,,,
13.249038,149.3801,4.0378962,0.05004,1348.0,0.354,6100.0,,-0.25,
15.558092,151.92274,4.0378962,0.04963,,0.221,6100.0,,-0.25,
18.38267405,,4.03790124331,,1350.57,,6100.0,,,
,,8.8866287,,,,,,,
13.068,940.74,8.886593,0.0855,1017.0,2.32,6090.0,,-0.2,F9 V
13.282665,940.7768,8.886593,0.0855,1025.0,2.21,6090.0,,-0.2,
13.069694,937.5985,8.886593,0.0854,,2.3,6090.0,,-0.2,
,4.8,0.853585,0.017,,,5256.0,-0.28938,0.06,
1.860694,6.99226,0.853585,0.0169,1910.0,6.0,5250.0,,0.12,
1.68135,4.07660518,0.85359163,,,,5275.0,,0.05,
,4.73,0.85359165,0.017,,6.61,5256.0,-0.28938,0.06,
1.58,4.6,0.854,,,6.5,5313.0,,0.03,
1.585,5.74,0.85359159,0.017016,1756.0,7.5,5259.0,,0.138,
1.528,6.056,0.8535,,,9.355,5250.0,,,G9 V
1.68,21.0,0.853585,0.0172,,,5275.0,,0.03,G9 V
,8.4,3.698,0.046,,,5256.0,-0.28938,0.06,
,13.56,3.7,0.045,,,5256.0,-0.28938,0.06,
,13.289,3.697,,,,5250.0,,,G9 V
,17.142,8.966,,,,5250.0,,,G9 V
6.39,69.92,6.21229,0.063,,1.6,5080.0,,0.3,K1 V
6.38913,69.28694,6.212381,0.06339,,1.45,5080.0,,0.3,
6.938371,69.28694,6.212445,0.0636,870.0,1.1,,-0.4,,
7.980808,68.65128,6.21229,0.0633,922.0,0.74,5080.0,,0.31,
11.948794,266.9772,95.272656,0.4021,420.0,0.86,5625.0,,-0.01,
11.948794,268.88418,95.272656,0.4029,,0.91,5625.0,,-0.01,
11.77,266.97,95.2738,0.407,,0.9,5625.0,,-0.01,G3 V
,,95.272725,,,,,,,
11.623733,262.52758,95.2738,0.4027,413.0,0.92,5625.0,,-0.01,
,,4098.1,5.75,,,,,,
,9057.77,246.36,0.36,,,,,,L1.5
,3496.0,,330.0,,,,,,M0.5
30.2643,3496.13,,,2200.0,,4371.0,-0.21153,,
,,18.57,0.1462,877.0,,6196.0,,,F8 V
,,6.584,0.0733,1239.0,,6196.0,,,F8 V
,,2.882,0.0422,1632.0,,6196.0,,,F8 V
,,5.516,0.0651,1314.0,,6196.0,,,F8 V
,,5.2072,0.0664,1000.0,,6500.0,0.1038,,F5 V
,,6.6732,0.0662,854.0,,5138.0,,0.18,K0 V
,,6.6736,0.0662,854.0,,,,,
,,3.4982,0.04853,,,6400.0,0.45939,-0.007,F5-F8 V
,1995.88832,8693.0,8.6,,,,,,
,,10220.0,8.19,,,,,,
5.63,413.179,8.1387,,,,5542.0,,-0.08,G6 V
5.7,,8.138268,,850.0,,5428.0,-0.13966,0.0,G6 V
6.17576816,,8.13822217724,,836.71,,5414.0,,,
1.047,,6.7987,0.0349,,,3648.0,,-0.048,
2.2,,28.1696,,,,,,,
1.87,,28.1656,,,,,,,
1.5,,0.72091,,,,5633.0,,-0.053,
0.692,,2.13174,,,,,,,
1.565,7.67,0.87724,0.0177,2038.0,11.1,5679.0,-0.04915,0.01,
1.3,,0.877214,,,,5820.0,,-0.01,
1.40575209,,0.877183,,,,5705.0,,-0.01,
1.2,,0.87703,,1874.0,,5711.17,-0.0264,0.018,
1.22,,3.80464,,,,,,,
1.03,,2.71578,,,,,,,
0.90819,,2.0478,0.0296,,,4520.0,-0.36351,-0.003,
1.48,,3.96165,,,,,,,
1.0,,3.96151,,,,,,,
1.04,,4.1698,0.035,,,5053.0,,0.0,
1.41,,4.16888,,,,,,,
1.1,,4.16959,,,,,,,
1.18,,8.0468,,,,,,,
1.31,,8.050722,,960.6,,5502.7,,,
1.62,,8.0516,,,,,,,
1.7,,4.50756,,,,,,,
1.44,,4.50717,,,,,,,
1.4,,0.911724,,,,5724.0,,-0.22,
1.35,,0.9116567,,,,5648.0,,,
1.16,,0.911618,,,,,,,
2.94,,14.641541,,,,5648.0,,,
4.0,,14.637,,,,6438.0,,,
2.6,,14.647531,,,,5724.0,,-0.22,
2.52,,14.6435,,,,,,,
1.01,,2.87814,,,,,,,
1.7,,5.2986,,,,4114.0,,0.006,
1.62,,5.29711,,,,,,,
3.32,,5.29853,,,,,,,
1.45,,0.35490972,,,,3893.0,,,
1.2,,0.354884,,,,4114.0,,0.006,
1.0,,2.255436,,,,3297.0,,-0.33,
0.9,,2.25372,,,,,,,
2.0,,2.25558,,,,,,,
1.22,,1.58316,,,,,,,
0.96,,1.58252,,,,,,,
2.094,,17.515472,,,,4752.0,,0.019,
2.15,,17.5125,,,,,,,
2.63,,17.501662,,,,4749.0,,,
,,21.1595,,,,3811.0,-1.16914,,
,,21.17623917,,,,3811.0,-1.16914,,
2.18,,21.1686,,,,,,,
1.92,,21.1701963,0.1195,431.0,,4057.0,,0.2,
1.98,,21.169861,0.131,,,4148.21,,,
2.2,,21.169619,,,,3880.0,-1.15304,0.14,
,,19.491,,,,6128.0,0.37334,,
5.5,11.0,19.491,,809.0,0.33,6019.0,,0.14,
5.50689,,19.4921473,,662.0,,6128.0,,,
6.12,27.0,19.49213,0.148,886.35,0.65,6025.0,,0.1,G0
5.84689735,,19.491795,,,,6046.0,,0.05,
,,19.50735025,,,,6128.0,0.37334,,
6.8,,19.491965,,,,6320.0,,,
6.0,,19.492132,,,,,,,
,,19.4921498,,,,6025.0,,0.1,G0
5.96,,19.49183,,,,,,,
5.76,,19.49221,0.1493,817.0,,6069.0,,0.1,
1.83,,2.28896,,,,,,,
1.323,,2.28943,,,,,,,
1.48,,2.289363,,1149.0,,5171.0,,-0.03,
2.27,,5.213965,,866.0,,5171.0,,-0.03,
